trial name,tunable,results 1,results 2,results 3,tunable 1,min,default,max,tunable 2,min,default,max
49,220422202826,26691,26353,26287,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,100000
50,220422202938,27500,27621,27613,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,150000
51,220422203050,27723,28081,27166,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,200000
52,220422203201,28883,29095,28986,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,300000
53,220422203313,29272,29271,29033,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,500000
54,220422203425,29663,30465,29964,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,750000
55,220422203537,29903,29764,29977,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,1000000
56,220422203648,30425,30620,30074,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,1500000
57,220422203800,30075,30333,30351,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,2000000
58,220422203912,30620,30389,30399,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,4000000
59,220422204023,30100,30053,30722,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,6000000
60,220422204135,30583,30212,31106,net.ipv4.tcp_rmem,4096,87380,200000,net.ipv4.tcp_wmem,4096,16384,8000000
61,220422204247,13.4,12.9,12.9,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,20000
62,220422204358,13.3,13.4,13.3,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,40000
63,220422204510,26951,27268,27011,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,75000
64,220422204622,27136,27293,27178,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,100000
65,220422204734,30621,31447,31014,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,150000
66,220422204845,30129,30845,30827,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,200000
67,220422204957,33683,32770,34047,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,300000
68,220422205109,34286,34259,33878,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,500000
69,220422205220,34356,33887,33639,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,750000
70,220422205332,33900,33870,34592,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,1000000
71,220422205444,33993,33860,34034,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,1500000
72,220422205555,33159,33898,33628,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,2000000
73,220422205707,33464,33761,33975,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,4000000
74,220422205819,33278,33814,33782,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,6000000
75,220422205931,33771,33741,33354,net.ipv4.tcp_rmem,4096,87380,300000,net.ipv4.tcp_wmem,4096,16384,8000000
76,220422210042,13.4,13.4,13.4,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,20000
77,220422210154,13.4,13.4,13,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,40000
78,220422210306,27226,27122,26652,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,75000
79,220422210417,26796,26989,26537,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,100000
80,220422210529,27929,28263,28209,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,150000
81,220422210641,28154,27960,28054,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,200000
82,220422210752,27648,28093,27882,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,300000
83,220422210904,28481,28555,28672,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,500000
84,220422211016,29359,29382,29647,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,750000
85,220422211127,30132,29348,29484,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,1000000
86,220422211239,30686,30811,29777,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,1500000
87,220422211351,31613,31759,30881,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,2000000
88,220422211503,32322,32458,32662,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,4000000
89,220422211614,32561,32174,32238,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,6000000
90,220422211726,32698,32582,33408,net.ipv4.tcp_rmem,4096,87380,500000,net.ipv4.tcp_wmem,4096,16384,8000000
91,220422211838,13.4,13.4,13.5,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,20000
92,220422211949,13.4,13.4,13.4,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,40000
93,220422212101,26835,26414,27079,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,75000
94,220422212213,26922,27053,27053,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,100000
95,220422212324,27962,28485,28117,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,150000
96,220422212436,27845,27808,27199,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,200000
97,220422212548,27528,27904,27515,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,300000
98,220422212659,27661,27689,27909,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,500000
99,220422212811,27605,27378,27894,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,750000
100,220422212923,27449,26953,27853,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,1000000
101,220422213035,27331,27135,27754,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,1500000
102,220422213146,27565,27500,27629,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,2000000
103,220422213258,27489,27820,28008,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,4000000
104,220422213410,27489,27939,27920,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,6000000
105,220422213521,27327,27133,27932,net.ipv4.tcp_rmem,4096,87380,750000,net.ipv4.tcp_wmem,4096,16384,8000000
106,220422213633,13.4,13.4,13.4,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,20000
107,220422213745,13.5,13.4,13.4,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,40000
108,220422213856,26509,26827,26873,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,75000
109,220422214008,26974,26667,26956,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,100000
110,220422214120,27628,27952,27855,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,150000
111,220422214231,27857,27716,27911,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,200000
112,220422214343,27579,27454,27776,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,300000
113,220422214455,27489,27902,27561,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,500000
114,220422214606,27321,27591,27488,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,750000
115,220422214718,27123,27512,27649,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,1000000
116,220422214830,27453,27528,27553,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,1500000
117,220422214941,27514,27916,27851,net.ipv4.tcp_rmem,4096,87380,1000000,net.ipv4.tcp_wmem,4096,16384,2000000
